image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.005
maximum-foreground	255
minimum-foreground	2
init-z	false
snake-point-spacing	1
minimum-snake-length	20
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	4
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
2          17      246.66      156.94           0     47.3294     6.04814
2          18     247.288     157.715           0     66.7882     11.1705
2          19     247.916      158.49           0     89.2354     15.9934
2          20     248.492     159.305           0     96.5053     21.9881
2          21     248.964     160.184           0     91.2683     27.8152
2          22     249.354     161.102           0      75.894     27.9736
2          23     249.713     162.032           0     64.0782     24.0351
2          24     250.086     162.957           0      58.586     19.5329
2          25      250.49     163.869           0     51.5964     15.7066
2          26     250.939     164.761           0     53.7154     14.1367
2          27     251.421     165.634           0      58.727     15.7452
2          28     251.923     166.496           0     69.5801     20.5743
2          29     252.427     167.357           0     77.6847     30.0433
2          30     252.932     168.217           0     84.0762     40.0959
2          31     253.445     169.072           0      81.176     45.6102
2          32      253.97     169.921           0     76.2687     45.4446
2          33     254.489     170.772           0     70.4589     44.9758
2          34      254.98      171.64           0     74.6648     54.4633
2          35     255.397     172.547           0     90.8476       63.53
2          36     255.689     173.501           0     118.041     48.6234
2          37     255.873     174.481           0     140.891     45.6085
2          38     256.149      175.44           0     141.401     71.2193
2          39     256.695     176.274           0     112.783      60.514
2          40     257.381     176.998           0     83.4551     31.7477
2          41     258.082     177.708           0      71.569     19.4666
2          42     258.726      178.47           0     70.6345     16.2952
2          43      259.28       179.3           0     72.2603     14.9271
2          44     259.735     180.187           0     72.8195     13.2576
2          45     260.115      181.11           0     71.8217     11.5202
2          46     260.453     182.048           0     67.9141     9.46445
2          47     260.777     182.992           0     65.3483     7.69126
2          48     261.103     183.934           0     62.7382       6.861
2          49     261.432     184.876           0     59.4003      6.2887
2          50     261.779     185.811           0     56.1026     5.70903
2          51     262.144      186.74           0     52.2792     5.47974
2          52     262.515     187.666           0      48.326     4.91304
2          53      262.89      188.59           0     47.1039     4.49938
2          54     263.275      189.51           0     46.4617     4.06283
2          55     263.668     190.427           0     47.1447     3.86472
