image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2/skelorig.tif
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.01
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	4
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
1          68     205.131     341.832           0     9055.59           0
1          69      205.86     341.146           0     12642.1           0
1          70     206.672      340.56           0     7051.51           0
1          71     207.598     340.176           0       11794           0
1          72     208.583     339.999           0       14938           0
1          73     209.585      339.99           0     16928.1           0
1          74     210.569     340.175           0     17327.6           0
1          75     211.474     340.604           0     10711.2           0
1          76     212.275     341.206           0     11970.5           0
1          77     213.033     341.861           0           0           0
#1
2           0     10.0088     325.186           0     27.1706           0
2           1     10.9324     325.583           0     8977.95           0
2           2     11.8795      325.92           0     16629.7           0
2           3     12.8294     326.249           0     15198.5           0
2           4     13.7677      326.61           0     12943.4           0
2           5     14.7367     326.877           0     20356.6           0
2           6     15.7275     327.047           0     20569.4           0
2           7     16.7101     327.259           0     15665.1           0
2           8      17.672     327.551           0     7985.81           0
2           9     18.6424     327.813           0     11813.6           0
2          10     19.6375     327.956           0     13774.2           0
2          11     20.6417     328.001           0     15209.6           0
2          12     21.6469     328.008           0     19921.7           0
2          13     22.6521     328.005           0     22265.1           0
2          14     23.6573     328.001           0     22402.2           0
2          15     24.6626     327.999           0     21493.3           0
2          16     25.6678     327.998           0     19774.1           0
2          17      26.673     327.995           0     20030.4           0
2          18     27.6782     327.989           0     20765.4           0
2          19     28.6835     327.982           0     16106.1           0
2          20     29.6886      327.99           0     14391.1           0
2          21     30.6915     328.059           0     15906.1           0
2          22     31.6784     328.251           0       11114           0
